,EquipmentID,SurveyDate,AreaName,AreaID,Route,EquipmentName,AnalysisDate,FaultStatus,FaultName,Comment,Location,Analyst
0,A741,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,A741 VENTILATEUR A741,2019-10-09 08:11:44,1. FOR INFORMATION,Electrical problem,"Nous observons des fréquences d'origine électrique sur le moteur. La signature du passage de barre rotorique est visible mais reste tout à fait acceptable. Evolution stable depuis la dernière mesure. 

Comportement vibratoire sain. Pas d'action à prévoir. Equipement à suivre selon planning. ",Moteur,tk/400
1,V1102,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,V1102 VENTILATEUR V1102,2019-10-09 08:17:04,1. FOR INFORMATION,Electrical problem,"Nous ne relevons pas de défaut particulier sur l'équipement, seulement des fréquences d'origine électrique dont les amplitudes vibratoires sont stables et acceptables. 

Comportement vibratoire sain. Pas d'action requise, équipement à suivre selon planning. ",Moteur,tk/400
2,M2,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2019-07-21 13:12:40,1. FOR INFORMATION,Other,"Aucun défaut particulier n'est à signaler sur l'équipement, hormis des fréquences électriques stables en regard de la dernière mesure. 

Pas d'action requise. Equipement à suivre selon planning (3 mois). 

",,tk/400
3,M5,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M5 POMPE M5,2019-07-21 13:41:05,1. FOR INFORMATION,Other,"Nous ne relevons pas de problème particulier sur l'équipement. Les amplitudes traduisent un fonctionnement normal de l'équipement.

Seul le moteur a été contrôler les plaiers ventilateur ne sont pas accessibles.

Pas d'action requise. Equipement à suivre selon planning.",,tk/400
4,M9,2019-06-27 22:00:00,FERROGLOBE,FER,FERROGLOBE,M9 POMPE M9,2019-07-21 14:01:09,1. FOR INFORMATION,Other,"Aucun défaut particulier n'est relevé sur cet équipement.

Seul le moteur a été mesuré, les paliers du ventilateur n'étant pas accessibles. 

Pas d'action requise. Equipement à suivre selon planning (3 mois). ",,tk/400
5,40M01,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,40M01 Kuttner,2019-10-09 08:41:35,1. FOR INFORMATION,Electrical problem,"Aucune défaut particulier n'est relevé sur l'équipement. 
Des fréquences d'origine éléctrique sont observées sur le moteur et une signature de roulement est visible sur le palier côté opposé accouplement du ventilateur. 
Dans un cas comme dans l'autre, les amplitudes vibratoires sont faibles et n'évoluent pas. 
Comportement vibratoire sain. Pas d'action requise, équipement à suivre selon planning. ",,tk/400
6,M2,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M2 POMPE M2,2019-10-09 09:21:38,1. FOR INFORMATION,Other,"Nous ne relevons pas de défaut sur cet équipement. Le comportement vibratoire est sain. Aucune action requise, équipement à suivre selon planning. ",,tk/400
7,M9,2019-10-08 22:00:00,FERROGLOBE,FER,FERROGLOBE,M9 POMPE M9,2019-10-09 09:37:06,1. FOR INFORMATION,Imbalance,"Pas de défaut particulier sur cet équipement, hormis un léger déséquilibre avec amplification structurelle. Compte tenu de la souplesse de la structure, cela est tout à fait acceptable. Pas d'action requise, équipement à suivre selon planning. ",,tk/400
8,Dép PF,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,Dép PF Dépoussièrage PF,2020-01-13 15:17:34,1. FOR INFORMATION,Courroie(s),"Nous ne relevons pas de défaut particulier sur cet équipement, hormis une fréquence de courroie. Nous pouvons entendre les courroies également lorsque l'équipement est encore froid. Cela ne doit pas générer d'inquiétude. 

Pas d'action requise. Equipement à suivre selon planning. ",,tk/400
9,A711,2020-01-12 23:00:00,FERROGLOBE,FER,FERROGLOBE,A711 VENTILATEUR A711,2020-01-13 16:26:39,1. FOR INFORMATION,N/A,"Nous n'observons pas de défaut particulier sur cet équipement, hormis la présence de fréquences électriques qui ne doivent pas générer d'inquiétude.

Pas d'action requise. Equipement à suivre selon planning.  ",,tk/400
